GESTURE_STOP
-0.66,-0.22,1.76,439.10,9.48,113.18,-103.79,36.38,-404.25
-0.07,0.41,0.38,51.97,23.81,-38.05,-111.55,-351.63,-240.45
-0.05,1.01,0.23,-24.90,3.91,-5.36,-92.15,-351.63,-239.40
-0.12,1.01,0.22,-1.67,3.15,5.63,-100.88,-339.01,-256.20
-0.10,0.96,0.21,3.55,5.44,-0.63,-105.73,-340.95,-255.15
-0.09,0.97,0.22,4.45,4.82,3.34,-99.91,-337.07,-255.15
GESTURE_STOP
0.01,-1.12,1.42,602.71,-1.24,128.70,-134.83,129.50,-384.30
-0.14,0.47,0.53,27.06,0.57,-2.02,-122.22,-349.69,-232.05
0.05,0.82,0.04,-12.59,12.26,-11.34,-119.31,-374.90,-208.95
-0.10,1.05,0.20,-13.36,-6.11,0.56,-122.22,-345.81,-243.60
-0.08,0.99,0.19,0.97,0.85,-3.13,-120.28,-344.83,-244.65
-0.09,1.00,0.19,2.02,-0.33,1.60,-120.28,-346.77,-249.90
GESTURE_STOP
-0.24,0.16,1.65,338.30,53.79,106.37,-122.22,104.27,-393.75
-0.08,0.40,0.74,103.17,37.30,8.56,-74.69,-303.13,-281.40
-0.09,0.92,0.10,-8.63,1.20,-1.04,-84.39,-371.02,-210.00
-0.10,1.03,0.15,-4.94,-5.69,9.04,-93.12,-354.53,-226.80
-0.11,1.00,0.16,-1.11,-0.89,2.92,-103.79,-352.59,-236.25
-0.11,1.00,0.17,0.14,2.94,0.49,-99.91,-349.69,-237.30
GESTURE_STOP
0.10,-0.10,1.01,245.29,22.07,57.74,-116.40,-274.02,-298.20
0.12,0.89,-0.12,-17.60,-12.92,-5.43,-150.35,-385.57,-176.40
0.04,1.04,0.05,-14.05,-0.33,-3.76,-149.38,-369.08,-202.65
0.04,0.98,0.08,7.65,0.43,0.70,-151.32,-369.08,-204.75
0.04,1.00,0.06,-3.83,-0.05,0.77,-147.44,-369.08,-203.70
0.02,1.04,0.08,-5.98,-0.19,-1.18,-144.53,-359.38,-213.15
GESTURE_STOP
-0.59,0.67,1.24,262.54,20.75,160.83,-120.28,-97.48,-391.65
-0.05,0.02,1.24,-98.37,-63.91,-5.15,-163.93,-146.95,-364.35
0.18,0.76,0.72,-10.57,11.91,-19.06,-212.43,-119.80,-359.10
0.07,0.74,0.70,-5.84,-7.29,2.64,-212.43,-118.83,-359.10
0.09,0.73,0.69,0.90,0.23,6.26,-212.43,-117.85,-355.95
0.10,0.72,0.70,0.56,-0.54,2.37,-214.37,-114.94,-360.15
GESTURE_STOP
0.08,0.20,0.68,-34.50,-17.79,3.13,-120.28,-234.25,-327.60
0.11,0.67,0.54,14.68,8.99,9.81,-155.20,-175.09,-351.75
-0.01,0.83,0.62,4.73,4.05,-0.14,-149.38,-183.81,-350.70
-0.02,0.81,0.58,0.56,-1.31,2.64,-148.41,-183.81,-348.60
0.00,0.80,0.60,-2.09,-2.49,-0.07,-152.29,-182.84,-351.75
0.00,0.79,0.62,-2.71,-1.58,4.87,-156.17,-175.09,-354.90
GESTURE_STOP
-0.07,0.49,0.67,238.26,50.24,64.00,-75.66,-206.13,-346.50
-0.12,0.29,0.74,-46.61,-2.14,0.97,-94.09,-273.06,-309.75
-0.04,0.99,0.51,2.71,-2.14,-3.48,-120.28,-245.89,-330.75
-0.04,0.91,0.45,-4.94,-2.49,-1.74,-121.25,-248.81,-325.50
-0.04,0.91,0.47,-1.32,-2.49,-1.18,-124.16,-240.07,-331.80
-0.04,0.89,0.47,0.77,1.62,0.00,-128.04,-237.16,-331.80
GESTURE_STOP
0.02,0.52,0.29,62.19,15.81,48.28,-86.33,-307.00,-278.25
0.04,0.82,0.46,-13.63,-4.64,13.77,-113.49,-269.18,-317.10
-0.06,0.93,0.41,-11.13,-3.88,-1.11,-117.37,-267.24,-313.95
-0.05,0.93,0.49,-5.98,-3.39,3.20,-118.34,-247.83,-328.65
-0.04,0.89,0.45,-6.12,-4.78,3.48,-128.04,-242.01,-333.90
-0.02,0.90,0.53,-1.32,-1.37,6.61,-133.86,-227.47,-336.00
GESTURE_STOP
0.31,-1.03,0.78,629.43,98.17,77.98,-138.71,70.33,-396.90
-0.10,0.51,0.75,-73.18,-12.92,-27.90,-149.38,-271.12,-304.50
0.09,0.86,0.42,-12.31,-1.72,16.70,-142.59,-263.36,-315.00
-0.02,0.91,0.43,-2.02,-0.96,1.67,-142.59,-257.53,-320.25
0.01,0.94,0.40,-2.71,-1.17,-4.87,-142.59,-255.59,-322.35
0.01,0.91,0.42,-6.05,1.96,-5.70,-138.71,-253.66,-323.40
GESTURE_STOP
0.31,0.36,0.84,431.30,-61.76,156.45,-133.86,-138.22,-376.95
0.16,0.47,0.36,8.56,-1.51,2.92,-222.13,-230.38,-322.35
0.20,0.91,0.45,-14.12,4.40,1.25,-226.98,-219.70,-326.55
0.20,0.88,0.50,-5.77,-6.94,8.42,-234.74,-203.22,-331.80
0.22,0.85,0.49,-2.99,6.42,-8.14,-238.62,-196.42,-333.90
0.21,0.81,0.54,-3.48,-0.19,0.28,-237.65,-187.69,-334.95
