GESTURE_NONE
-0.29,0.40,0.87,-0.49,1.76,-1.60,106.70,86.81,-562.80
-0.31,0.39,0.87,0.70,-0.05,-1.88,108.64,84.88,-561.75
-0.32,0.41,0.86,11.27,1.90,-14.61,98.94,68.39,-563.85
-0.35,0.42,0.85,5.84,-1.17,-4.94,95.06,66.44,-562.80
-0.36,0.42,0.85,0.14,-1.31,-0.49,91.18,62.56,-564.90
-0.34,0.42,0.85,0.56,-2.00,0.56,94.09,66.44,-564.90
-0.34,0.42,0.84,0.21,0.23,-1.25,94.09,66.44,-563.85
-0.33,0.42,0.85,-0.14,0.02,-0.21,89.24,67.41,-565.95
-0.34,0.42,0.85,1.32,-1.44,-0.90,90.21,66.44,-563.85
-0.32,0.43,0.85,1.32,1.34,-2.43,83.42,61.59,-567.00
-0.30,0.43,0.86,4.10,-3.39,-6.68,70.81,60.63,-570.15
-0.34,0.43,0.85,2.09,1.34,2.09,74.69,54.80,-567.00
-0.37,0.42,0.85,-15.30,1.27,19.69,84.39,66.44,-565.95
-0.33,0.42,0.85,-0.97,-0.19,7.10,105.73,69.36,-564.90
-0.30,0.43,0.86,-2.16,1.20,5.01,103.79,67.41,-565.95
-0.30,0.43,0.86,-2.30,2.73,0.83,110.58,68.39,-562.80
-0.32,0.39,0.87,-3.76,-19.18,3.06,108.64,75.17,-561.75
-0.34,0.79,0.30,-92.31,137.96,45.84,149.38,-102.33,-508.20
-0.09,0.35,1.01,24.28,-38.38,-24.97,129.01,112.03,-493.50
-0.32,0.36,0.73,37.36,28.47,91.55,139.68,89.72,-489.30
-0.26,0.31,0.90,2.78,-15.91,-2.99,134.83,78.08,-489.30
-0.15,0.36,0.93,-11.06,-3.18,-7.65,122.22,85.84,-493.50
-0.13,0.21,0.96,55.93,41.96,-1.67,138.71,119.80,-484.05
-0.33,0.33,0.90,-5.50,-21.76,-44.17,149.38,109.13,-492.45
-0.29,0.25,0.93,5.98,15.67,-29.63,121.25,151.81,-499.80
-0.46,0.09,0.97,8.49,-14.11,-12.17,102.82,169.26,-500.85
-0.34,0.20,0.96,2.50,-2.84,-0.90,108.64,171.20,-502.95
-0.32,0.22,0.92,3.90,15.04,4.73,124.16,167.32,-494.55
-0.19,0.54,0.43,66.37,-126.87,-20.17,78.57,-52.87,-536.55
-0.30,0.49,0.88,39.58,16.16,-7.79,36.86,42.20,-577.50
-0.29,0.47,0.85,2.71,8.02,-15.72,32.01,30.55,-577.50
-0.31,0.43,0.85,-1.18,0.50,0.00,31.04,34.44,-576.45
-0.31,0.41,0.85,0.49,-5.83,-1.95,32.98,37.34,-577.50
-0.26,0.43,0.87,-6.05,10.73,17.67,41.71,45.10,-571.20
-0.27,0.42,0.88,-0.97,0.85,1.11,59.17,50.92,-572.25
-0.26,0.42,0.88,-3.76,-4.16,-2.02,59.17,62.56,-571.20
-0.22,0.42,0.90,-1.88,-6.66,1.04,46.56,69.36,-576.45
0.08,0.51,0.56,-136.28,44.40,10.02,151.32,-57.71,-507.15
-0.40,0.29,0.93,-29.22,-34.49,5.63,128.04,115.91,-510.30
-0.08,0.39,1.00,-6.61,-32.75,24.83,102.82,102.33,-507.15
-0.26,0.24,0.87,27.34,31.53,7.03,132.89,122.70,-494.55
-0.35,0.11,0.97,53.77,8.57,-17.25,129.98,103.30,-499.80
-0.25,0.53,0.83,18.85,-3.11,30.19,124.16,24.73,-515.55
-0.18,0.65,0.75,13.01,-63.84,20.38,84.39,-48.98,-520.80
-0.19,0.56,0.75,-39.30,35.22,-39.79,113.49,-29.59,-518.70
-0.16,0.23,1.03,2.64,10.80,-24.21,111.55,120.77,-514.50
-0.29,0.29,0.91,-5.77,-3.46,-9.60,115.43,140.16,-513.45
-0.32,0.25,0.92,-2.50,2.03,-5.36,111.55,151.81,-511.35
-0.45,0.30,0.84,10.37,6.76,2.16,155.20,133.38,-509.25
-0.34,0.28,0.91,-6.54,-15.01,1.39,127.07,149.87,-508.20
-0.27,0.30,0.90,16.21,-2.00,25.67,144.53,114.94,-509.25
-0.28,0.52,0.72,60.94,-9.86,16.90,126.10,38.31,-529.20
-0.20,1.01,0.46,6.89,-4.23,5.15,94.09,-245.89,-488.25
-0.17,0.71,0.67,-7.23,3.50,-12.17,98.94,-169.26,-515.55
-0.23,0.63,0.71,-13.01,-8.89,-13.70,100.88,-108.16,-531.30
-0.17,0.52,0.83,-21.77,-35.11,-29.63,26.19,-52.87,-557.55
-0.15,0.38,0.94,-63.79,-25.10,-6.89,-34.92,109.13,-550.20
-0.11,0.21,0.94,-35.41,55.88,-13.36,-50.44,231.34,-515.55
-0.23,0.03,0.95,11.13,11.43,-3.76,-12.61,302.15,-486.15
-0.34,0.12,1.08,25.11,-3.11,9.32,13.58,272.08,-497.70
-0.34,0.21,0.92,16.21,0.09,17.11,35.89,208.06,-519.75
-0.24,0.20,0.87,-36.73,66.52,4.17,74.69,172.17,-522.90
-0.55,-0.11,0.81,-55.44,19.84,13.08,98.94,332.22,-431.55
-0.01,-0.68,0.85,-137.88,-8.33,-35.55,-30.07,564.05,-140.70
-0.34,-1.13,0.13,-9.32,305.20,-87.51,-279.36,530.11,1.05
-0.28,-0.96,0.04,22.96,3.77,-13.01,-332.71,477.72,-95.55
-0.22,-0.96,0.26,-5.77,-28.30,9.46,-303.61,489.37,-135.45
-0.10,-0.99,0.28,-7.86,-78.38,16.49,-287.12,532.04,-35.70
-0.11,-1.04,0.16,39.23,33.20,-5.91,-276.45,556.29,-19.95
-0.14,-0.93,0.18,-11.62,4.75,-1.18,-267.72,566.00,-52.50
-0.16,-0.99,0.26,-13.08,-14.87,-8.77,-290.03,553.38,-7.35
-0.17,-0.98,0.19,3.76,4.40,-0.97,-302.64,548.53,-9.45
-0.14,-0.97,0.22,1.25,-1.17,-1.74,-296.82,546.60,-18.90
-0.12,-0.93,0.21,4.73,18.17,-1.88,-292.94,544.65,-49.35
-0.18,-0.98,0.28,-0.28,4.68,-11.20,-311.37,526.23,-65.10
-0.16,-0.96,0.24,3.41,2.45,2.57,-311.37,515.55,-73.50
-0.12,-0.95,0.24,1.46,0.02,0.14,-305.55,522.35,-78.75
-0.15,-0.96,0.24,-0.35,-1.17,-1.67,-311.37,520.40,-78.75
-0.13,-0.98,0.24,-2.78,-0.26,-1.25,-306.52,516.52,-78.75
-0.14,-0.96,0.25,-0.14,-1.44,1.25,-312.34,517.50,-72.45
-0.13,-0.97,0.23,1.60,-1.10,3.20,-312.34,519.43,-72.45
-0.13,-0.97,0.24,0.56,0.36,-1.74,-309.43,518.47,-71.40
-0.14,-0.97,0.24,1.32,2.38,0.56,-306.52,513.62,-75.60
-0.14,-0.96,0.26,0.49,1.41,-1.95,-312.34,515.55,-78.75
-0.14,-0.95,0.25,-0.83,-2.77,-0.07,-311.37,513.62,-78.75
-0.13,-0.96,0.24,-7.58,-11.25,-4.45,-311.37,514.59,-75.60
-0.12,-0.96,0.21,1.81,4.26,-0.77,-310.40,518.47,-82.95
-0.13,-0.97,0.25,3.41,8.43,-1.04,-310.40,513.62,-88.20
-0.14,-0.97,0.25,-0.42,0.23,-0.83,-311.37,509.74,-95.55
-0.15,-0.96,0.26,-0.63,-3.60,-0.83,-316.22,507.79,-96.60
-0.12,-0.97,0.23,0.70,0.02,2.57,-313.31,509.74,-94.50
-0.16,-0.97,0.25,1.39,-2.14,3.48,-314.28,510.70,-89.25
-0.12,-0.96,0.24,-1.39,-0.82,-0.63,-308.46,515.55,-86.10
-0.14,-0.96,0.25,0.83,-1.24,0.49,-308.46,512.64,-85.05
-0.14,-0.95,0.24,0.21,-1.58,0.97,-308.46,514.59,-85.05
-0.15,-0.96,0.33,-8.21,-19.88,-3.97,-316.22,515.55,-58.80
-0.13,-0.98,0.23,8.77,2.03,7.51,-305.55,524.28,-70.35
-0.15,-0.98,0.28,-6.33,-7.57,-5.84,-304.58,526.23,-57.75
-0.13,-0.96,0.22,2.37,-2.97,4.45,-303.61,524.28,-55.65
-0.13,-0.96,0.25,0.70,-1.03,-1.88,-303.61,531.07,-48.30
-0.14,-0.97,0.24,0.00,1.76,1.60,-302.64,526.23,-53.55
-0.13,-0.96,0.25,5.08,1.20,0.28,-306.52,531.07,-48.30
-0.13,-0.96,0.26,0.07,0.36,-0.83,-305.55,527.19,-50.40
-0.14,-0.96,0.24,1.18,2.66,-0.14,-303.61,526.23,-53.55
-0.13,-0.97,0.23,-6.68,-1.10,-3.76,-306.52,525.25,-52.50
-0.13,-0.97,0.23,-7.58,-13.34,-5.29,-320.10,522.35,-27.30
